id,name,addr,lat,lng,dong,detailtype,detailtype_str,detailtype2_str
24,36.5도여름 남쪽점,제주특별자치도 제주시 애월읍 애납로 165 1층,33.4394045795819,126.328234312954,애월읍,4,카페,커피
25,제주오복단,제주특별자치도 제주시 남광북1길 39 1층,33.4966792316091,126.537377014683,이도2동,6,한식,가정식
26,보람순대국밥,제주특별자치도 제주시 한림읍 한림북동길 17,33.4166168348787,126.263847407799,한림읍,6,한식,국밥
27,동춘돌곱창제주서귀포점,제주특별자치도 서귀포시 동홍동로25번길 19,33.2572194347087,126.572667313843,동홍동,6,한식,곱창
28,수일통닭강정점,제주특별자치도 서귀포시 이어도로 565,33.236562675366,126.477167431048,대천동,5,패스트푸드,치킨
29,제리스펍,제주특별자치도 서귀포시 솔동산로 20 2층,33.2431504372879,126.563721018229,송산동,2,양식,양식
30,제주흑돈만두강정점,제주특별자치도 서귀포시 이어도로 578-1,33.2359106861013,126.478429287459,대천동,6,한식,만두
31,돈까스튀기는서대리,제주특별자치도 제주시 선덕로8길 26 비산쉐르빌 가동 1층 103호,33.4833666884722,126.500725061534,연동,6,한식,돈까스
32,면장댁,제주특별자치도 제주시 신성로10길 16,33.4953887296435,126.529984440685,이도2동,6,한식,가정식
33,고향각재기,제주특별자치도 제주시 구남동5길 1,33.489597890111,126.539131789097,이도2동,6,한식,단품요리 전문
34,싱싱프루츠외도점,제주특별자치도 제주시 진군1길 8 1층,33.4791259957357,126.481198097188,외도동,6,한식,단품요리 전문
35,마왕족발제주시청점,제주특별자치도 제주시 신성로 109-1,33.4973856144637,126.530493522826,이도2동,6,한식,족발
36,우도우돈,제주특별자치도 제주시 우도면 우도로 188,33.5086411659151,126.953545409046,우도면,6,한식,돼지고기
37,해피누들,제주특별자치도 제주시 조천읍 함덕14길 16 1층,33.5406574428135,126.666004218067,조천읍,6,한식,단품요리 전문
38,막쇠,제주특별자치도 제주시 제원길 12 1층,33.4890019172536,126.489243414306,동홍동,6,한식,가정식
39,솔트스톤골드점,제주특별자치도 제주시 일주동로 331,33.5215213240762,126.580310282814,삼양동,6,한식,단품요리 전문
40,제주다올,제주특별자치도 제주시 도두항서7길 9 1층,33.5032836603475,126.464328979444,도두동,6,한식,단품요리 전문
41,멕시카나치킨 첨단점,제주특별자치도 제주시 첨단로동길 106,33.4514056198512,126.576477232026,아라동,5,패스트푸드,치킨
42,AND YU (앤드유),제주특별자치도 제주시 한림읍 한림로 518 1층,33.404631622892,126.254178270112,한림읍,6,한식,단품요리 전문
43,큰가름본점,제주특별자치도 제주시 도남로 65,33.4944853880068,126.527911729203,이도2동,6,한식,가정식
44,강선장당일바리,제주특별자치도 제주시 다랑곶4길 35 1층,33.4892229417644,126.478816826611,노형동,6,한식,가정식
45,굽네치킨한림점,제주특별자치도 제주시 한림읍 한림상로 158-1,33.4124323839943,126.269031014766,한림읍,5,패스트푸드,치킨
46,더솔트랩,제주특별자치도 제주시 아란8길 7 1층,33.473326885635,126.544768108899,아라동,6,한식,단품요리 전문
47,올레2번가갈비,제주특별자치도 서귀포시 서문로 31,33.2500888931442,126.558725270289,천지동,6,한식,갈비
48,소낭식당,제주특별자치도 서귀포시 남원읍 일주동로 7905,33.2658502550371,126.641257852647,조천읍,6,한식,단품요리 전문
49,문동일셰프,제주특별자치도 제주시 애월읍 하귀동남4길 13-1,33.4818689264343,126.413089283632,애월읍,6,한식,단품요리 전문
50,베롱베롱 in 행원,제주특별자치도 제주시 구좌읍 해맞이해안로 820-38 1층,33.5534625061581,126.822487676639,구좌읍,6,한식,가정식
51,베러댄버터,제주특별자치도 제주시 월랑로2길 30 1층,33.4882649950583,126.481696029589,노형동,4,음료,커피
52,오예끄,제주특별자치도 제주시 광양13길 6-2 1층,33.4985938864801,126.531244275448,이도2동,6,한식,단품요리 전문
53,곤지암한우소머리국밥제주아라점,제주특별자치도 제주시 아란5길 19-5 1층,33.4751097155237,126.5443542685,아라동,6,한식,소고기
54,카페파노,제주특별자치도 제주시 남광로 170 1층,33.5003157386527,126.551731666643,일도2동,4,음료,커피
