CMPNM_NM,ADSTRD_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE
언니네,송산동,한식,가정식,0.36264705882352943,0.41558823529411765,0.020294117647058824,0.1252941176470588,0.04764705882352942,0.2523529411764706
백록마당,이도2동,한식,가정식,0.30735294117647055,0.18764705882352942,0.013235294117647059,0.02676470588235294,0.03735294117647059,0.09
장군닭,연동,한식,치킨,0.23875000000000002,0.2775,0.00875,0.042916666666666665,0.025833333333333333,0.13
석정삼계탕,화북동,한식,단품요리 전문,0.93875,0.8525,0.00125,0.0375,0.055,0.27875
한라꽃돈,노형동,한식,돼지고기,0.5404347826086956,0.6108695652173913,0.03217391304347826,0.13869565217391305,0.07173913043478261,0.32130434782608697
동근이숯불두마리치킨,연동,패스트푸드,치킨,0.19761904761904764,0.2704761904761905,0.002857142857142857,0.04,0.017142857142857144,0.1280952380952381
막창먹는놈일도점,일도2동,한식,단품요리 전문,0.3175,0.19375,0.00125,0.00375,0.02,0.06875
발베니,노형동,한식,가정식,1.0590625,0.2378125,0.0096875,0.0078125,0.09406250000000001,0.089375
달리는커피 서귀포중문점,중문동,음료,커피,0.2734782608695652,0.9130434782608695,0.017391304347826087,0.34130434782608693,0.0391304347826087,0.6086956521739131
쏘렐라,애월읍,양식,양식,0.5511764705882353,0.36117647058823527,0.08529411764705883,0.3511764705882353,0.11529411764705882,0.42764705882352944
제주막창이땡길때,아라동,고기,막창,0.885,0.54,0.0,0.01,0.1,0.24
30년할매닭발모슬포점,대정읍,한식,치킨,0.8646153846153847,0.7638461538461538,0.04153846153846154,0.2946153846153846,0.09538461538461539,0.5046153846153846
중문일가,중문동,주점 및 주류판매,맥주/요리주점,0.18000000000000002,0.34,0.013333333333333334,0.12666666666666668,0.02666666666666667,0.29333333333333333
장충왕족발,연동,한식,족발,0.34791666666666665,0.32458333333333333,0.0033333333333333335,0.023750000000000004,0.030416666666666665,0.13708333333333333
왕고집찜마을동태탕,노형동,한식,단품요리 전문,0.5,0.39,0.01,0.04,0.07,0.17
얼큰이공주칼국수,대륜동,한식,면류,0.3961538461538462,0.6369230769230769,0.023076923076923075,0.20115384615384618,0.055769230769230765,0.3934615384615385
무봉리토종순대국,안덕면,한식,국밥,0.2469230769230769,0.4492307692307692,0.014615384615384615,0.1323076923076923,0.02769230769230769,0.2623076923076923
돈가,연동,한식,돼지고기,1.86625,0.9166666666666666,0.06708333333333333,0.17541666666666667,0.21458333333333335,0.46416666666666667
사계주막,안덕면,한식,단품요리 전문,0.33285714285714285,0.21357142857142858,0.038214285714285715,0.13071428571428573,0.06321428571428571,0.18285714285714286
파페로(papero),노형동,양식,양식,1.4081818181818182,0.38272727272727275,0.1390909090909091,0.1318181818181818,0.2809090909090909,0.2490909090909091
똥광,연동,한식,가정식,0.6436363636363637,0.4981818181818181,0.010909090909090908,0.028181818181818183,0.08090909090909092,0.20181818181818184
삼산회관 서귀포중앙점,천지동,한식,단품요리 전문,0.66,0.7,0.04,0.11,0.12,0.34
우림일식,노형동,아시아음식,일식,2.1059375,0.7415625,0.06406250000000001,0.085,0.21375,0.328125
좋은하루,이도2동,한식,단품요리 전문,0.2681818181818182,0.1875757575757576,0.0006060606060606061,0.00393939393939394,0.023636363636363636,0.06818181818181818
불타는  차돌쭈꾸미,아라동,한식,차돌,0.7128571428571429,0.46714285714285714,0.004285714285714286,0.020714285714285713,0.05,0.16071428571428573
나도섬이다,조천읍,주점,주류,0.18384615384615385,0.15923076923076923,0.030000000000000002,0.10769230769230768,0.04923076923076923,0.14923076923076925
청해회센타,연동,한식,단품요리 전문,0.645,0.30375,0.036250000000000004,0.1,0.0675,0.175
주식한돈,한림읍,고기,돼지고기,0.25,0.385,0.0,0.0,0.025,0.16
막창먹는놈외도점,외도동,한식,단품요리 전문,0.35875,0.245,0.0025,0.00875,0.0225,0.0925
고씨네막창,이도2동,한식,막창,1.1691666666666667,0.5454166666666667,0.017083333333333336,0.041666666666666664,0.10875,0.225
