병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
문성철정형외과의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 241,33.5198327989352,126.570960870211,화북일동
삼성정형외과의원, 의원,1,0,0,제주특별자치도 제주시 동광로 124,33.5069867270985,126.540293885402,일도이동
제주대항외과의원, 의원,1,0,0,제주특별자치도 제주시 고마로 53,33.509500248517,126.53970403748,일도이동
중앙의원, 의원,1,1,1,제주특별자치도 서귀포시 대정읍 상모로 313 ,33.2225300089931,126.255859278342,대정읍 상모리
신윤석외과의원, 의원,1,0,0,제주특별자치도 서귀포시 월드컵로 8,33.2489939885441,126.507323170982,강정동
서울탑외과의원, 의원,1,0,0,제주특별자치도 제주시 1100로 3321,33.4828355651889,126.480565928098,노형동
홍성희여성외과의원, 의원,1,0,0,제주특별자치도 제주시 노형8길 2 ,33.4843262448719,126.477346169156,노형동
미인세상의원, 의원,1,0,0,제주특별자치도 제주시 연북로 527,33.4851989356373,126.536163681745,아라일동
비바체성형외과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 302,33.4938136520931,126.534044371519,이도이동
온정신건강의학과의원, 의원,0,0,0,제주특별자치도 제주시 동광로 122,33.5068794566345,126.540226111547,일도이동
한빛정신건강의학과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 184 ,33.4997145957062,126.5160784456,삼도일동
밝은정신건강의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 91 ,33.2527175839254,126.560402422658,서귀동
최인철정신건강의학과의원, 의원,1,0,0,제주특별자치도 제주시 1100로 3347,33.4848372184625,126.479605628771,노형동
한사랑정신과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 273,33.5004176607745,126.525662002453,이도일동
이방훈재활의학과의원, 의원,0,0,0,제주특별자치도 제주시 서광로 157,33.5003166071857,126.513275051146,용담일동
서귀포빛사랑안과의원, 의원,1,0,0,제주특별자치도 서귀포시 동문로 2 ,33.2523192582574,126.561504673145,서귀동
이종찬제통마취과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 35-1 ,33.2478641206696,126.561606221084,서귀동
민마취통증의학과의원, 의원,1,0,0,제주특별자치도 제주시 동문로 76,33.5135012600925,126.534809712342,일도이동
바루나마취통증의학과의원, 의원,0,0,0,제주특별자치도 제주시 동광로 131 ,33.5079413615319,126.540471800294,일도이동
수마취통증의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 113,33.25480137328,126.560488355674,서홍동
하늘마취통증의학과의원, 의원,1,0,0,제주특별자치도 제주시 1100로 3333,33.4836219692901,126.480144305382,노형동
편안한마취통증의학과의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 199,33.5190229158855,126.566846605617,화북일동
정성학 마취통증의학과의원, 의원,1,0,0,제주특별자치도 제주시 서사로 155,33.4984631916553,126.520043633981,삼도일동
드림미성형외과의원, 의원,0,0,0,제주특별자치도 제주시 1100로 3347,33.4848372184625,126.479605628771,노형동
조천부부의원, 의원,1,0,0,제주특별자치도 제주시 조천읍 신북로 237 ,33.5369184629232,126.637876970269,조천읍 조천리
연세예담의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8666,33.2536909571303,126.562363402936,동홍동
아산수의원, 의원,0,0,0,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 16,33.2794966695968,126.275263560437,대정읍 보성리
아름다운의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8671 ,33.2530910639216,126.562044995228,서귀동
제주아름다운피부과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 273 ,33.5004176607745,126.525662002453,이도일동
투게더피부과의원, 의원,1,0,0,제주특별자치도 서귀포시 월드컵로 8,33.2489939885441,126.507323170982,강정동
한승진신경외과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 161 ,33.5003816890679,126.513730976435,용담일동
서귀포유신경외과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 43 ,33.2484061219292,126.561487195477,서귀동
메디필산부인과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 308 ,33.4932501979887,126.534703360433,이도이동
오나정산부인과의원, 의원,0,0,0,제주특별자치도 제주시 건주로 31,33.5167785217559,126.580982878284,도련일동
