약국명,위도,경도,주소,주소2
해약국,33.5002241500889,126.524595836648,제주특별자치도 제주시 서광로 263 ,삼도일동
그린온누리약국,33.4823639241295,126.480475567709,제주특별자치도 제주시 노형12길 27 ,노형동
예은온누리약국,33.4840011684389,126.477847039423,"제주특별자치도 제주시 노형8길 8, 1층 ",노형동
제주약국,33.490914736412,126.484844218554,제주특별자치도 제주시 성신로 13-8 ,연동
온누리대우약국,33.5002496144059,126.514721990879,제주특별자치도 제주시 서광로 171 ,용담일동
강약국,33.5016641058548,126.543469074284,제주특별자치도 제주시 고마로 147 ,일도이동
월마트약국,33.5194425930885,126.569947757174,"제주특별자치도 제주시 일주동로 229, 1층 B호 ",화북일동
중앙약국,33.4143607876119,126.264059203941,제주특별자치도 제주시 한림읍 한림로 664,한림읍 한림리
신세계약국,33.4851414250848,126.490807609442,제주특별자치도 제주시 연동8길 7 ,연동
장수약국,33.302409591532,126.179780740401,제주특별자치도 제주시 한경면 고산로 16,한경면 고산리
태평양약국,33.4872302576653,126.490528109697,"제주특별자치도 제주시 연동7길 30, 1층 ",연동
제주예스약국,33.4917415285373,126.471259738003,"제주특별자치도 제주시 억삼길 35-57, 가동 1층 3호 ",이호이동
대정약국,33.4812622296803,126.486371601557,제주특별자치도 제주시 과원북4길 35 ,노형동
한라산약국,33.4909836070888,126.485210416351,제주특별자치도 제주시 성신로 13-4 ,연동
송약국,33.4817561259736,126.405012921092,제주특별자치도 제주시 애월읍 하귀로 77,애월읍 하귀2리
태안약국,33.4121682539585,126.265191013939,제주특별자치도 제주시 한림읍 한림중앙로 29,한림읍 한림리
대동약국,33.471511689671,126.366981527523,신엄리1280-16,애월읍 신엄리
대학약국,33.4696720226435,126.547362090731,제주특별자치도 제주시  중앙로  611 ,아라일동
나라약국,33.5420394042026,126.665971016422,제주특별자치도 제주시 조천읍 신북로  523,조천읍 함덕리
제주토마토약국,33.4901161837273,126.485948322561,"제주특별자치도 제주시 도령로 73, 1층 101호 ",연동
영제약국,33.4844444517438,126.477797252714,"제주특별자치도 제주시 노형8길 3, 1층 ",노형동
현대약국,33.5112411910527,126.524560673505,제주특별자치도 제주시 중앙로 77 ,이도일동
스마트약국,33.4824421892687,126.481834000763,"제주특별자치도 제주시 연북로 1, 롯데마트 1층 ",노형동
희망약국,33.4815487337564,126.489399163279,"제주특별자치도 제주시 연북로 76, 한성빌딩 1층 ",연동
나눔약국,33.4841802424623,126.411417274651,"제주특별자치도 제주시 애월읍 하광로 12, 노트르담 1층 101호",애월읍 하귀1리
행복나눔약국,33.4902322419752,126.474199468505,제주특별자치도 제주시 월랑로 59 ,노형동
인제약국,33.5060460786907,126.539148588153,제주특별자치도 제주시 동광로 108-1 ,일도이동
햇님온누리약국,33.4736791675227,126.545316121542,"제주특별자치도 제주시 중앙로 560, 1층 ",아라일동
매일약국,33.4862509810967,126.483241294872,제주특별자치도 제주시 노연로 29 ,노형동
성종약국,33.5002353157767,126.524944772172,제주특별자치도 제주시 서광로 267 ,삼도일동
하귀하나로약국,33.4850611892862,126.412159214346,제주특별자치도 제주시 애월읍 일주서로 7136,애월읍 하귀1리
숲약국,33.4760038041208,126.481505787404,"제주특별자치도 제주시 1100로 3213-27, 지하2층 202호 ",노형동
삼양온누리약국,33.521537909651,126.58696097496,"제주특별자치도 제주시 일주동로 393, 1층 ",삼양이동
한그루약국,33.4099219825896,126.265486208907,"제주특별자치도 제주시 한림읍 한림상로 116, 103호",한림읍 동명리
포도약국,33.4777476702248,126.543587346335,"제주특별자치도 제주시 아연로 603, 1층 ",아라일동
민트약국,33.4842953208458,126.47713256299,"제주특별자치도 제주시 노형로 390, 1층 ",노형동
새힘약국,33.4996621148119,126.524506360365,"제주특별자치도 제주시 서광로 262, 1층 ",삼도일동
예사랑약국,33.4827946685932,126.477721185489,"제주특별자치도 제주시 노형11길 25, 1층 ",노형동
초록약국,33.4886649230919,126.475307220929,"제주특별자치도 제주시 수덕로 6, 1층 ",노형동
연동약국,33.4816497749802,126.485403352408,"제주특별자치도 제주시 연북로 38, 1층 ",노형동
숲속온누리약국,33.46981155562,126.485332189237,"제주특별자치도 제주시 1100로 3178, 와이제이빌딩 제A동 102호 ",노형동
한결약국,33.4954440983053,126.527805588365,제주특별자치도 제주시 신성로 78 ,도남동
밝은사랑약국,33.485821410903,126.478301044424,"제주특별자치도 제주시 노형로 407, 노형타워 1층 106호 ",노형동
올레약국,33.2484061219292,126.561487195477,"제주특별자치도 서귀포시 중앙로 43, 1층 ",서귀동
월드컵약국,33.248712252659,126.508491059708,"제주특별자치도 서귀포시 일주동로 9213, GS25 1층 6호 ",법환동
바다약국,33.2539879848355,126.506975247499,"제주특별자치도 서귀포시 신서귀로97번길 51, 바다약국 101호호 ",강정동
제일약국,33.4496175289055,126.915076362584,제주특별자치도 서귀포시 성산읍 동류암로36번길  23,성산읍 고성리
서울약국,33.2481821202082,126.564015682772,제주특별자치도 서귀포시 중정로 71 ,서귀동
동의당약국,33.2479152138296,126.564291924136,제주특별자치도 서귀포시 이중섭로 1 ,서귀동
율약국,33.2520022255776,126.422993539855,제주특별자치도 서귀포시 중문로 1 ,중문동
신세계온누리약국,33.2489939885441,126.507323170982,"제주특별자치도 서귀포시 월드컵로 8, 104호 ",강정동
소아약국,33.3258348751557,126.832863900483,제주특별자치도 서귀포시 표선면 표선중앙로 84 ,표선면 표선리
현강약국,33.2523432454262,126.562068685543,제주특별자치도 서귀포시 동문로 5 ,서귀동
온세상건강약국,33.3242518318003,126.831621729203,제주특별자치도 서귀포시 표선면 표선동서로 225 ,표선면 표선리
